"Background color","Background color"
"Debug mode enabled","Debug mode enabled"
"Display mode","Display mode"
"How to install","How to install"
"Offline page URL","Offline page URL"
"Short name","Short name"
"Start URL","Start URL"
"Tap the ""Share"" icon <span class=""cs-pwa-a2hs-guide__install-icon""></span> at the bottom of the screen and select ""Go to Home Screen"".","Tap the ""Share"" icon <span class=""cs-pwa-a2hs-guide__install-icon""></span> at the bottom of the screen and select ""Go to Home Screen""."
"Theme color","Theme color"
"This page is not available for desktop users","This page is not available for desktop users"
Benefits,Benefits
Description,Description
Enabled,Enabled
General,General
MageSuite,MageSuite
Name,Name
PWA,PWA
